seed,total-variance,feature0-linear
0,0.12120177,0.01955408
0,11.55076027,0.76389715
0,17.90611649,0.79332059
0,21.11096191,0.80328903
0,23.27836227,0.80896086
0,24.92296982,0.81279049
0,26.25096321,0.81559533
0,27.36580467,0.81779231
0,28.32766533,0.81958237
0,29.17360497,0.82109442
0,29.92850876,0.82241155
0,30.61066818,0.82356572
0,31.23307800,0.82459426
0,31.80485916,0.82551566
0,32.33329391,0.82634546
0,32.82459259,0.82709477
0,33.28382111,0.82777658
0,33.71464157,0.82839585
0,34.12004852,0.82895926
0,34.50290680,0.82947354
0,34.86229706,0.82994326
1,0.08842424,0.01830906
1,9.17795372,0.64580209
1,15.73885918,0.68921124
1,18.93748093,0.70092722
1,21.07300568,0.70741457
1,22.68231392,0.71184884
1,23.97596931,0.71516627
1,25.05908012,0.71781620
1,25.99199677,0.71999438
1,26.81140327,0.72183908
1,27.54172134,0.72343310
1,28.20111656,0.72481883
1,28.80240250,0.72604682
1,29.35473251,0.72714014
1,29.86523247,0.72812751
1,30.33942032,0.72902829
1,30.78187752,0.72985583
1,31.19663620,0.73062188
1,31.58670044,0.73133301
1,31.95486450,0.73199539
1,32.30015564,0.73260567
2,0.13970706,0.04636454
2,10.46951866,0.65923917
2,16.50731277,0.70152198
2,19.55777931,0.71587715
2,21.61811066,0.72400179
2,23.17953300,0.72943468
2,24.43904877,0.73339296
2,25.49565506,0.73645030
2,26.40649033,0.73890625
2,27.20730972,0.74092352
2,27.92214394,0.74262919
2,28.56771851,0.74410403
2,29.15592194,0.74539880
2,29.69624329,0.74654818
2,30.19595337,0.74757908
2,30.66074181,0.74851153
2,31.09488678,0.74935697
2,31.50186539,0.75013457
2,31.88473129,0.75085145
2,32.24604034,0.75151324
2,32.58511353,0.75212053
3,0.11277840,0.02574418
3,10.45492363,0.72961593
3,15.84746456,0.75921545
3,18.67383003,0.76960855
3,20.61015701,0.77543584
3,22.08937263,0.77935268
3,23.28909683,0.78226304
3,24.29937935,0.78455365
3,25.17256546,0.78641336
3,25.94204712,0.78797543
3,26.62996674,0.78931368
3,27.25206375,0.79048351
3,27.81995773,0.79151869
3,28.34217453,0.79244171
3,28.82521439,0.79327183
3,29.27433968,0.79402985
3,29.69411087,0.79472450
3,30.08829117,0.79536410
3,30.45983887,0.79595850
3,30.81084824,0.79651284
3,31.13986778,0.79702708
4,0.13921092,0.01739729
4,12.11509705,0.67559100
4,19.09672165,0.72350222
4,22.54611778,0.73821701
4,24.86066818,0.74625506
4,26.60831070,0.75162376
4,28.01481628,0.75557332
4,29.19292450,0.75866050
4,30.20738983,0.76116791
4,31.09805298,0.76327092
4,31.89248276,0.76506875
4,32.60896683,0.76663210
4,33.26132965,0.76801129
4,33.86028671,0.76924602
4,34.41397476,0.77036410
4,34.92879868,0.77138648
4,35.40979767,0.77232896
4,35.86122131,0.77320160
4,36.28647995,0.77401446
4,36.68833542,0.77477486
4,37.06520844,0.77547913
